,latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
20,40.75598,-73.97599,21,J.P. MORGAN CHASE,270 PARK AVENUE,New York,NY,243355,105486,24733.0
21,38.71851,-90.31114,22,EXPRESS SCRIPTS HOLDING,1 EXPRESS WAY,Saint Louis,MO,25600,100288,3404.4
22,33.86197,-84.48297,23,HOME DEPOT,2455 PACES FERRY ROAD NW,Atlanta,GA,406000,94595,7957.0
23,41.88355,-87.63855,24,BOEING,100 NORTH RIVERSIDE PLAZA,Chicago,IL,150540,94571,4895.0
24,37.7934,-122.4024,25,WELLS FARGO,420 MONTGOMERY STREET,San Francisco,CA,269100,94176,21938.0
25,35.22704,-80.84207,26,BANK OF AMERICA CORP.,100 NORTH TRYON STREET,Charlotte,NC,208024,93662,17906.0
26,37.42202,-122.08432,27,ALPHABET,1600 AMPHITHEATRE PARKWAY,Mountain View,CA,72053,90272,19478.0
27,47.64005,-122.1298,28,MICROSOFT,1 MICROSOFT WAY,Redmond,WA,114000,85320,16798.0
28,39.76913,-86.15881,29,ANTHEM,120 MONUMENT CIRCLE,Indianapolis,IN,53000,84863,2469.8
29,40.75901,-73.97153,30,CITIGROUP,399 PARK AVENUE,New York,NY,219000,82386,14912.0
30,39.95468,-75.16848,31,COMCAST,1701 JOHN F KENNEDY BOULEVARD,Philadelphia,PA,159000,80403,8695.0
31,41.10754,-73.72124,32,IBM,1 NEW ORCHARD ROAD,Armonk,NY,414400,79919,11872.0
32,40.47689,-88.95483,33,STATE FARM INSURANCE COS.,1 STATE FARM PLAZA,Bloomington,IL,68234,76132,350.3
33,29.740913,-95.560908,34,PHILLIPS 66,2331 CITYWEST BOULEVARD,Houston,TX,14800,72396,1555.0
34,40.49804,-74.44296,35,JOHNSON & JOHNSON,1 JOHNSON AND JOHNSON PLAZA,New Brunswick,NJ,126400,71890,16540.0
35,39.10311,-84.50542,36,PROCTER & GAMBLE,1 PROCTER AND GAMBLE PLAZA,Cincinnati,OH,105000,71726,10508.0
36,29.58919,-98.606,37,VALERO ENERGY,1 VALERO WAY,San Antonio,TX,9996,70166,2289.0
37,44.97396,-93.27563,38,TARGET,1000 NICOLLET MALL,Minneapolis,MN,323000,69495,2737.0
38,38.93286,-77.22706,39,FREDDIE MAC,8200 JONES BRANCH DRIVE,Mclean,VA,5982,65665,7815.0
39,35.54119,-80.85421,40,LOWE'S,1000 LOWE'S BOULEVARD,Mooresville,NC,240000,65017,3093.0
40,30.48641,-97.67513,41,DELL TECHNOLOGIES,1 DELL WAY,Round Rock,TX,138000,64806,-1672.0
41,40.75306,-73.97776,42,METLIFE,200 PARK AVENUE,New York,NY,58000,63476,800.0
42,41.76776,-72.69221,43,AETNA,151 FARMINGTON AVENUE,Hartford,CT,49500,63155,2271.0
43,41.03475,-73.69335,44,PEPSICO,700 ANDERSON HILL ROAD,Purchase,NY,264000,62799,6329.0
44,39.86725,-88.88608,45,ARCHER DANIELS MIDLAND,4666 FARIES PARKWAY,Decatur,IL,31800,62346,1279.0
45,33.94199,-84.36142,46,UPS,55 GLENLAKE PARKWAY NE,Atlanta,GA,335520,60906,3431.0
46,37.38851,-121.96375,47,INTEL,2200 MISSION COLLEGE BOULEVARD,Santa Clara,CA,106000,59387,10316.0
47,40.73666,-74.17158,48,PRUDENTIAL FINANCIAL,751 BROAD STREET,Newark,NJ,49739,58779,4368.0
48,43.59974,-116.18099,49,ALBERTSONS COS.,250 PARKCENTER BOULEVARD,Boise,ID,274000,58734,-502.2
49,41.708447,-72.803224,50,UNITED TECHNOLOGIES,10 FARM SPRINGS ROAD,Farmington,CT,201600,57244,5055.0
50,41.03602,-83.64974,51,MARATHON PETROLEUM,539 SOUTH MAIN STREET,Findlay,OH,44460,55858,1174.0
