latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
44.86392,-93.30542,72,BEST BUY,7601 PENN AVENUE SOUTH,Richfield,MN,125000,39403,1228
40.79199,-74.44436,73,HONEYWELL INTERNATIONAL,101 COLUMBIA ROAD,Morris Township,NJ,131000,39302,4809
40.69173,-89.58841,74,CATERPILLAR,100 NE ADAMS STREET,Peoria,IL,95400,38537,-67
42.35006,-71.07208,75,LIBERTY MUTUAL INSURANCE GROUP,175 BERKELEY STREET,Boston,MA,50000,38308,1006
40.75998,-73.98551,76,MORGAN STANLEY,1585 BROADWAY,New York,NY,55311,37949,5979
42.11747,-72.5481,77,MASSACHUSETTS MUTUAL LIFE INSURANCE,1295 STATE STREET,Springfield,MA,11737,37788,1273.5
40.71473,-74.01444,78,GOLDMAN SACHS GROUP,200 WEST STREET,New York,NY,34400,37712,7398
32.861433,-96.807209,79,ENERGY TRANSFER EQUITY,8111 WESTCHESTER DRIVE,Dallas,TX,30992,37504,995
40.75318,-73.97332,80,TIAA,730 3RD AVENUE,New York,NY,12997,37105,1492.3
37.53073,-122.26245,81,ORACLE,500 ORACLE PARKWAY,Redwood City,CA,136000,37047,8901
36.15401,-94.15459,82,TYSON FOODS,2200 WEST DON TYSON PARKWAY,Springdale,AR,114000,36881,1768
41.8787,-87.63598,83,UNITED CONTINENTAL HOLDINGS,233 SOUTH WACKER DRIVE,Chicago,IL,88000,36556,2263
42.09907,-87.87074,84,ALLSTATE,2775 SANDERS ROAD,Northbrook,IL,43275,36534,1877
28.0023,-82.01313,85,PUBLIX SUPER MARKETS,3300 PUBLIX CORPORATE PARKWAY,Lakeland,FL,191000,34274,2025.7
40.71392,-74.01469,86,AMERICAN EXPRESS,200 VESEY STREET,New York,NY,56400,33823,5408
42.30874,-71.38258,87,TJX,770 COCHITUATE ROAD,Framingham,MA,235000,33184,2298.2
45.50715,-122.82844,88,NIKE,1 BOWERMAN DRIVE,Beaverton,OR,70700,32376,3760
41.88133,-87.63014,89,EXELON,10 SOUTH DEARBORN STREET,Chicago,IL,34396,31360,1134
38.86895,-77.21468,90,GENERAL DYNAMICS,2941 FAIRVIEW PARK DRIVE,Falls Church,VA,98800,31353,2955
40.25675,-76.91367,91,RITE AID,30 HUNTER LANE,Camp Hill,PA,70580,30737,165.5
