city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Oceanside,Oceanside,CA,California,6073,San Diego,33.2247,-117.3083
Elk Grove,Elk Grove,CA,California,6067,Sacramento,38.416,-121.3842
Pembroke Pines,Pembroke Pines,FL,Florida,12011,Broward,26.0128,-80.3382
Vallejo,Vallejo,CA,California,6095,Solano,38.1133,-122.2358
Garden Grove,Garden Grove,CA,California,6059,Orange,33.7787,-117.9601
Enterprise,Enterprise,NV,Nevada,32003,Clark,36.0164,-115.2208
Medford,Medford,OR,Oregon,41029,Jackson,42.3372,-122.8537
Cary,Cary,NC,North Carolina,37183,Wake,35.782,-78.8191
Marysville,Marysville,WA,Washington,53061,Snohomish,48.0809,-122.1561
Corona,Corona,CA,California,6065,Riverside,33.8616,-117.5649
Ocala,Ocala,FL,Florida,12083,Marion,29.178,-82.1511
Fredericksburg,Fredericksburg,VA,Virginia,51630,Fredericksburg,38.2992,-77.4872
Gainesville,Gainesville,GA,Georgia,13139,Hall,34.2903,-83.8301
Manchester,Manchester,NH,New Hampshire,33011,Hillsborough,42.9848,-71.4447
Bayamón,Bayamon,PR,Puerto Rico,72021,Bayamón,18.3793,-66.1635
Champaign,Champaign,IL,Illinois,17019,Champaign,40.1144,-88.2735
Alexandria,Alexandria,VA,Virginia,51510,Alexandria,38.8185,-77.0861
Hayward,Hayward,CA,California,6001,Alameda,37.6328,-122.0772
Springfield,Springfield,IL,Illinois,17167,Sangamon,39.771,-89.6538
Lakewood,Lakewood,CO,Colorado,8059,Jefferson,39.6977,-105.1168
Lafayette,Lafayette,IN,Indiana,18157,Tippecanoe,40.399,-86.8594
Frederick,Frederick,MD,Maryland,24021,Frederick,39.4336,-77.4141
Lake Charles,Lake Charles,LA,Louisiana,22019,Calcasieu,30.2012,-93.2122
Odessa,Odessa,TX,Texas,48135,Ector,31.8831,-102.3406
Tuscaloosa,Tuscaloosa,AL,Alabama,1125,Tuscaloosa,33.2348,-87.5267
Warner Robins,Warner Robins,GA,Georgia,13153,Houston,32.597,-83.6529
